Account,sentiment_class,total_pnl,avg_pnl,win_rate,avg_leverage,avg_trade_size,trade_count,profit_factor
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,Greed,4239.816383,326.1397217692308,1.0,7.230769230769231,3344.340769230769,13,inf
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,Neutral,8019.163096,8019.163096,1.0,2.0,63734.69,1,inf
0x420ab45e0bd8863569a5efbb9c05d91f40624641,Extreme Fear,9461.082288,3153.6940959999997,1.0,3.0,16664.066666666666,3,inf
0x420ab45e0bd8863569a5efbb9c05d91f40624641,Extreme Greed,4019.61859,160.7847436,1.0,8.48,4058.3523999999998,25,inf
0x420ab45e0bd8863569a5efbb9c05d91f40624641,Fear,99648.278349,2847.093667114286,1.0,7.0285714285714285,6489.402285714285,35,inf
0x420ab45e0bd8863569a5efbb9c05d91f40624641,Greed,12082.95,6041.475,1.0,6.5,13593.75,2,inf
0x420ab45e0bd8863569a5efbb9c05d91f40624641,Neutral,74293.663505,2971.7465402000003,1.0,8.8,3134.3723999999997,25,inf
0x430f09841d65beb3f27765503d0f850b8bce7713,Extreme Greed,124284.948775,8285.663251666667,1.0,5.4,8285.689333333334,15,inf
0x430f09841d65beb3f27765503d0f850b8bce7713,Fear,5615.052102,233.96050424999999,1.0,9.75,2546.1920833333334,24,inf
0x430f09841d65beb3f27765503d0f850b8bce7713,Greed,227680.491734,462.765227101626,1.0,10.967479674796747,1621.3206707317074,492,inf
0x430f09841d65beb3f27765503d0f850b8bce7713,Neutral,58961.37973,867.0791136764706,1.0,8.632352941176471,5987.793235294118,68,inf
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,Extreme Fear,-14527.442518,-76.05990847120418,0.5392670157068062,13.612565445026178,608.5647120418848,191,0.3563168155935666
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,Extreme Greed,67275.949439,52.97318853464567,0.8503937007874016,11.960629921259843,685.8630866141732,1270,18.519179959693634
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,Fear,9999.484228,23.308821044289044,0.8111888111888111,12.265734265734265,578.9217948717949,429,2.992579039300797
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,Greed,36566.483324,25.606781039215686,0.834733893557423,12.901960784313726,520.3444607843137,1428,6.747177251108812
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,Neutral,4029.241688,11.678961414492754,0.8347826086956521,13.040579710144927,495.09228985507247,345,2.192943533462169
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,Extreme Fear,166696.399486,536.0012845209003,0.9807073954983923,6.565916398713826,17154.325273311897,311,409.4578913478052
