Coin,sentiment_class,total_pnl,avg_pnl,win_rate,trade_count,volume
MELANIA,Extreme Fear,97379.167198,278.2261919942857,1.0,350,542149.62
MELANIA,Extreme Greed,-18726.171999,-125.67900670469797,0.5033557046979866,149,277016.61
MELANIA,Fear,196849.124287,330.8388643478992,0.9949579831932773,595,1136371.97
MELANIA,Greed,73550.500324,72.32104259980333,0.8357915437561455,1017,1253041.59
MELANIA,Neutral,41298.450046,412.98450046,0.99,100,363179.58999999997
MEME,Extreme Greed,3570.798514,108.20601557575758,1.0,33,47256.76
MEME,Fear,-115.671181,-14.458897625,0.25,8,3150.14
MEME,Greed,839.063101,69.92192508333333,1.0,12,36246.46
MEME,Neutral,163.009986,54.336662,1.0,3,1557.75
MERL,Greed,-3.17364,-3.17364,0.0,1,46.68
MEW,Extreme Greed,28.063128,4.677188,1.0,6,418.85
MEW,Neutral,4.398952,4.398952,1.0,1,217.56
MINA,Greed,198.7045,28.386357142857143,1.0,7,6023.92
MKR,Extreme Fear,47.91373,4.791373,0.8,10,1664.83
MKR,Fear,1333.4571,55.5607125,1.0,24,11519.19
MKR,Greed,5.263168,2.631584,1.0,2,340.04999999999995
MKR,Neutral,29.645515,1.8528446875,1.0,16,1585.26
MNT,Extreme Greed,-21.057177,-7.0190589999999995,0.3333333333333333,3,680.6400000000001
MOODENG,Extreme Greed,16083.882211,309.3054271346154,0.6923076923076923,52,88058.66
MOODENG,Fear,8.497446,8.497446,1.0,1,213.5
MOODENG,Greed,68.127641,68.127641,1.0,1,485.67
MOODENG,Neutral,6.84105,3.420525,1.0,2,215.10999999999999
MORPHO,Extreme Fear,25.30602,2.81178,1.0,9,795.34
MORPHO,Extreme Greed,396.56499299999996,19.828249649999997,1.0,20,34144.62
MOVE,Extreme Greed,11.3683,5.68415,1.0,2,512.86
MOVE,Fear,2656.591555,33.2073944375,1.0,80,61289.89
MOVE,Greed,-105.56743700000001,-13.195929625000002,0.75,8,2302.58
MOVE,Neutral,0.5021180000000001,0.1673726666666667,1.0,3,1551.1
MYRO,Extreme Greed,51.19653,4.2663775,1.0,12,23364.82
MYRO,Neutral,2.28114,2.28114,1.0,1,219.62
NEAR,Extreme Greed,12881.069498,75.77099704705883,1.0,170,354844.35
NEAR,Greed,1073.254531,37.00877693103448,1.0,29,51179.009999999995
NEAR,Neutral,3.2119500000000003,1.6059750000000002,1.0,2,218.43
NEIROETH,Extreme Greed,34.161578,34.161578,1.0,1,187.77
NIL,Neutral,-3175.273635,-36.92178645348837,0.19767441860465115,86,239198.53
NTRN,Extreme Greed,316.13639,24.318183846153847,1.0,13,29903.260000000002
NTRN,Greed,1098.313553,20.722897226415093,0.7924528301886793,53,88303.3
